Name,LastName,Email,Group,id
Jean-Pierre,Dupont,demo@foobarbaz.fr,Alpha_99,101
Maria,García,demo@foobarbaz.fr,Alpha_99,102
K0nji,Sato,demo@foobarbaz.fr,Alpha_99,103
O'Brian,Miles,demo@foobarbaz.fr,Delta-π-7,204
Jayne,Cobb,demo@foobarbaz.fr,Delta-π-7,205
Zoe,Washburne,demo@foobarbaz.fr,Delta-π-7,206
X-Æ-A-12,Musk,demo@foobarbaz.fr,1337_Unit,997
Alice,Wonderland,demo@foobarbaz.fr,1337_Unit,998
Bob,Builder,demo@foobarbaz.fr,1337_Unit,999
Rick,Sanchez,demo@foobarbaz.fr,1337_Unit,1000
Arthur,Dent,demo@foobarbaz.fr,Beta-02,301
Ford,Prefect,demo@foobarbaz.fr,Beta-02,302
Agent,Smith,demo@foobarbaz.fr,Matrix-Reboot,001
Neo,Anderson,demo@foobarbaz.fr,Matrix-Reboot,002
Trinity,Moss,demo@foobarbaz.fr,Matrix-Reboot,003
Fox,Mulder,demo@foobarbaz.fr,X-Files/FBI,501
Dana,Scully,demo@foobarbaz.fr,X-Files/FBI,502
Sam,Gamgee,demo@foobarbaz.fr,Ring-Bearers,010
Frodo,Baggins,demo@foobarbaz.fr,Ring-Bearers,009
Sherlock,Holmes,demo@foobarbaz.fr,Baker-Street,221
John,Watson,demo@foobarbaz.fr,Baker-Street,222
Luke,Skywalker,demo@foobarbaz.fr,Jedi-Order,777
Leia,Organa,demo@foobarbaz.fr,Jedi-Order,778
Yoda,Master,demo@foobarbaz.fr,Jedi-Order,779
Bruce,Wayne,demo@foobarbaz.fr,Gotham-Knights,001
Dick,Grayson,demo@foobarbaz.fr,Gotham-Knights,002
Selina,Kyle,demo@foobarbaz.fr,Gotham-Knights,003
